Date,LUC
1959,1.804199873
1960,1.659440633
1961,1.593636134
1962,1.555921639
1963,1.511242955
1964,1.467467758
1965,1.422180237
1966,1.391845416
1967,1.37336576
1968,1.366835055
1969,1.372703771
1970,1.358377564
1971,1.335889895
1972,1.306329239
1973,1.297837641
1974,1.268565411
1975,1.253118086
1976,1.234982204
1977,1.220524072
1978,1.19278333
1979,1.163015712
1980,1.197153403
1981,1.212405741
1982,1.213704888
1983,1.244570107
1984,1.278482365
1985,1.295351351
1986,1.319052647
1987,1.340116787
1988,1.36961948
1989,1.391440638
1990,1.358959264
1991,1.347430454
1992,1.349533766
1993,1.351104199
1994,1.344760509
1995,1.335150002
1996,1.318196595
1997,1.788437727
1998,1.2464325
1999,1.230205623
2000,1.378145241
2001,1.333316102
2002,1.500889178
2003,1.545985228
2004,1.513606542
2005,1.417488458
2006,1.495637472
2007,1.311681389
2008,1.357326508
2009,1.600747194
2010,1.456661972
2011,1.381410749
2012,1.485661285
2013,1.533382252
2014,1.649026488
2015,1.70491567
2016,1.55520477
2017,1.521109413
2018,1.553636946
2019,1.802636946
2020,0