Year,GCB
1959,0.677444847
1960,1.258398987
1961,0.660306208
1962,1.408220922
1963,1.023822621
1964,1.529523498
1965,0.480777095
1966,1.434329464
1967,1.64082213
1968,2.367404224
1969,0.748211123
1970,0.723909317
1971,2.285129484
1972,1.321762658
1973,1.79560863
1974,3.547957631
1975,2.407023058
1976,2.869446111
1977,1.582221574
1978,2.551675548
1979,1.618457512
1980,0.780913097
1981,2.258690189
1982,1.786388242
1983,0.6738237
1984,2.835898104
1985,2.706800257
1986,2.348568691
1987,0.824022372
1988,2.196890912
1989,3.511832387
1990,2.622000591
1991,2.21355935
1992,2.290566308
1993,3.101570933
1994,1.789830621
1995,2.021369281
1996,3.074548946
1997,3.263701139
1998,1.941488753
1999,3.538724445
2000,3.756663335
2001,2.675943457
2002,1.613606505
2003,2.556661949
2004,3.601666569
2005,2.200952692
2006,3.217960056
2007,2.994577001
2008,3.63227067
2009,3.034522486
2010,3.29977643
2011,4.076728146
2012,2.824434012
2013,3.644909951
2014,3.834119221
2015,2.641501734
2016,3.18323224
2017,3.830033324
2018,3.776393862
2019,3.136742773